FID,block_id,census_year,clue_small_area,commercial_accommodation,common_area,community_use,educational_research,entertainment_recreation_indoor,equipment_installation,hospital_clinic,house_townhouse,institutional_accommodation,manufacturing,office,park_reserve,parking_commercial_covered,parking_commercial_uncovered,parking_private_covered,parking_private_uncovered,performances_conferences_ceremonies,private_outdoor_space,public_display_area,residential_apartment,retail_cars,retail_shop,retail_showroom,retail_stall,sports_and_recreation_outdoor,square_promenade,storage,student_accommodation,total_space_in_block,transport,transport_storage_uncovered,unoccupied_under_construction,unoccupied_under_demolition_condemned,unoccupied_under_renovation,unoccupied_undeveloped_site,unoccupied_unused,wholesale,workshop_studio,wkb_geometry
com_clue_floor_use_block_2016.302,302,2016,North Melbourne,0,1263,0,6149,0,0,0,7294,,0,0,0,0,0,,0,0,12645,0,3698,0,0,0,0,0,0,0,0,33105.26953125,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.7925266318279 144.94539104571928, -37.792672470460374 144.94532768783884, -37.793563847586874 144.9451715160238, -37.793697359307345 144.94514810675338, -37.79335411963578 144.94207624084063, -37.79249275384845 144.94223031970137, -37.79218496128193 144.94228537636144, -37.7925266318279 144.94539104571928)))"
com_clue_floor_use_block_2016.305,305,2016,North Melbourne,0,,0,0,0,0,0,12292,0,0,0,0,0,0,0,0,0,11207,0,4376,0,0,0,0,0,0,0,0,28600.31054688,0,0,0,0,0,,0,0,0,"MULTIPOLYGON (((-37.79486654230963 144.94494162906142, -37.79452462028143 144.94186685846853, -37.7940033086495 144.94196011311442, -37.79335411963578 144.94207624084063, -37.793697359307345 144.94514810675338, -37.79486654230963 144.94494162906142)))"
com_clue_floor_use_block_2016.303,303,2016,North Melbourne,0,,0,1631,0,0,,3003,0,0,0,0,0,0,0,0,0,5184,,453,0,0,0,0,0,0,0,0,14678.33007812,0,0,3540,0,0,0,0,0,0,"MULTIPOLYGON (((-37.79210757519655 144.945573101245, -37.79347872804157 144.9472935435854, -37.79392025528496 144.94710801473602, -37.793697359307345 144.94514810675338, -37.793563847586874 144.9451715160238, -37.792672470460374 144.94532768783884, -37.7925266318279 144.94539104571928, -37.79210757519655 144.945573101245)))"
com_clue_floor_use_block_2016.304,304,2016,North Melbourne,0,307,0,0,0,0,,4638,0,0,0,0,0,0,0,0,,6549,0,6222,0,0,0,0,0,0,0,0,18804.34960938,0,0,0,0,0,0,,0,0,"MULTIPOLYGON (((-37.79501840675145 144.9468817860043, -37.79508200700176 144.94687050274078, -37.79497406500841 144.9459041538291, -37.79486654230963 144.94494162906142, -37.793697359307345 144.94514810675338, -37.79392025528496 144.94710801473602, -37.79404964732902 144.94705364393766, -37.79501840675145 144.9468817860043)))"
com_clue_floor_use_block_2016.308,308,2016,North Melbourne,0,,0,0,0,0,0,4538,0,0,0,0,0,0,,0,0,1436,0,502,0,0,0,0,0,0,0,0,6565.60986328,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.79508200700176 144.94687050274078, -37.79627124078149 144.94665679846662, -37.79616252366081 144.94569106919707, -37.79497406500841 144.9459041538291, -37.79508200700176 144.94687050274078)))"
com_clue_floor_use_block_2016.306,306,2016,North Melbourne,0,535,0,0,0,0,0,15953,0,0,0,0,0,0,,0,0,7895,0,2571,0,0,0,0,0,0,0,0,27319.98046875,0,0,0,0,0,0,0,0,,"MULTIPOLYGON (((-37.79486654230963 144.94494162906142, -37.796054183553714 144.9447287542105, -37.796128663153745 144.94471657568604, -37.79579788498212 144.9417666876922, -37.79579397354155 144.9417318122404, -37.79578410871273 144.94164154895006, -37.79452462028143 144.94186685846853, -37.79486654230963 144.94494162906142)))"
com_clue_floor_use_block_2016.307,307,2016,North Melbourne,0,0,0,0,0,0,0,4713,0,0,0,0,0,0,0,0,0,1503,0,0,0,0,0,0,0,0,0,0,6216.27978516,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.79486654230963 144.94494162906142, -37.79497406500841 144.9459041538291, -37.79616252366081 144.94569106919707, -37.796054183553714 144.9447287542105, -37.79486654230963 144.94494162906142)))"
com_clue_floor_use_block_2016.324,324,2016,North Melbourne,0,454,0,0,0,0,0,7903,0,0,0,,0,0,,0,0,4000,0,2064,0,0,0,0,0,0,0,0,18548.47070312,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.79616252366081 144.94569106919707, -37.79627124078149 144.94665679846662, -37.7964825846034 144.94661855464668, -37.79663954520503 144.946590650951, -37.797511933879356 144.94643555813323, -37.79729034425823 144.9445108164095, -37.79642131215338 144.9446661459979, -37.796128663153745 144.94471657568604, -37.796054183553714 144.9447287542105, -37.79616252366081 144.94569106919707)))"
com_clue_floor_use_block_2016.326,326,2016,North Melbourne,0,2176,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,13420,0,10630,0,,0,0,0,0,0,0,27008.61914062,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.79884165915795 144.94968390881522, -37.79875081065267 144.948871219532, -37.798449873155654 144.9462688070169, -37.797511933879356 144.94643555813323, -37.79663954520503 144.946590650951, -37.7964825846034 144.94661855464668, -37.7983707498924 144.94898832648704, -37.79837119423829 144.94898776110958, -37.79884165915795 144.94968390881522)))"
com_clue_floor_use_block_2016.352,352,2016,North Melbourne,0,1065,0,0,0,,0,14957,0,0,0,0,0,0,0,0,0,15570,0,3327,0,0,0,0,0,0,0,0,35181.2890625,0,0,0,0,,0,0,0,0,"MULTIPOLYGON (((-37.7983707498924 144.94898832648704, -37.7964825846034 144.94661855464668, -37.79627124078149 144.94665679846662, -37.79508200700176 144.94687050274078, -37.79501840675145 144.9468817860043, -37.79754265377838 144.95004162618022, -37.7983707498924 144.94898832648704)))"
