FID,ogc_fid,bld_pid,dt_create,dt_mod,capt_date,bld_rv_dt,bld_src,qual_class,loc_pid,state,add_count,sp_adj,sp_rv_dt,solar_p,solp_rv_dt,plan_zone,roof_hgt,eave_hgt,grd_elev,grd_el_src,pr_rf_mat,roof_type,roof_clr,mb_code,num_vert,area,volume,bld_gm_qlt,cntrd_long,cntrd_lat,est_lev,roof_shape,tree_overh,wkb_geometry
geoscape_melbourne_buildings_jun22.2473549,2473549,bld0c3bb690a10b,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,31,No,2021-04-04,No,2021-04-04,Special Use,11.09,11.09,30.13,5m,Flat Concrete,Flat,#716A62,20393690000,5,29.33,325.15,,144.97103,-37.80885,2,Flat,No,"POLYGON ((-37.808883217 144.971072687, -37.808895334 144.97103115800002, -37.808862949 144.971016142, -37.808831690000005 144.971001663, -37.808819572000004 144.971043193, -37.808883217 144.971072687))"
geoscape_melbourne_buildings_jun22.2473668,2473668,bld763ef1ec109a,2020-06-30,2022-03-26,2019-02-01,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,15.91,15.91,21.06,5m,Flat Concrete,Moderate pitch or complexity,#C1C5C5,20393843000,11,219.78,3163.41,,144.9693,-37.811,5,Hipped,No,"POLYGON ((-37.811067564000005 144.969231517, -37.811017570000004 144.96920819300001, -37.810990643000004 144.96919564, -37.810977987 144.969189728, -37.810920626000005 144.96938510700002, -37.810969267000004 144.96940779800002, -37.811010212 144.96942689600002, -37.811015174000005 144.969409971, -37.811048958 144.96929491, -37.811084852 144.969311658, -37.811103467 144.969248265, -37.811067564000005 144.969231517))"
geoscape_melbourne_buildings_jun22.2473793,2473793,bldc0894fe298f9,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,6,No,2021-04-04,No,2021-04-04,Special Use,5.51,3.81,32.26,5m,Flat Concrete,Moderate pitch or complexity,#D1D0B8,20394000000,15,170.2,937.38,,144.97233,-37.81104,1,Hipped,No,"POLYGON ((-37.810992478 144.972511028, -37.811002460000005 144.97251553700002, -37.811007440000004 144.97249807900002, -37.811002172 144.97249569000002, -37.811071551000005 144.972252174, -37.811163358 144.972293724, -37.811196282000004 144.97230862400002, -37.81120489 144.972278412, -37.811169650000004 144.97226246300002, -37.811040251 144.972203892, -37.810988625 144.97238510600002, -37.811006699 144.972393289, -37.810990238 144.97245106900002, -37.810953263 144.972434326, -37.810938382 144.972486541, -37.810992478 144.972511028))"
geoscape_melbourne_buildings_jun22.2473887,2473887,bld13ad076f0df9,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,5,No,2021-04-04,No,2021-04-04,Special Use,11.41,10,22.6,5m,Flat Concrete,Moderate pitch or complexity,#C4C2BC,20393843000,4,99.63,1137.04,,144.96954,-37.81067,2,Hipped,No,"POLYGON ((-37.810683793 144.96963257500002, -37.810725850000004 144.96948935700001, -37.810663247 144.969460153, -37.810621198 144.969603382, -37.810683793 144.96963257500002))"
geoscape_melbourne_buildings_jun22.2473955,2473955,bldeaaae8b0c0b6,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,9,No,2021-04-04,No,2021-04-04,Special Use,10.66,10.66,22.24,5m,Flat Concrete,Steep pitch or high complexity,#B8BDAB,20393843000,22,208.5,1963.92,,144.9695,-37.81047,2,Hipped,No,"POLYGON ((-37.810567036 144.969433994, -37.810572060000005 144.969436333, -37.810583185000006 144.96939843, -37.810554568 144.96938508300002, -37.810424355 144.96932434800001, -37.810406744000005 144.96938434, -37.810374254 144.969495002, -37.810384992 144.969500001, -37.81042055 144.969516588, -37.810455745000006 144.969533003, -37.810483281 144.969545845, -37.810502314000004 144.96948101, -37.810474777 144.969468167, -37.810439592 144.969451752, -37.810453040000006 144.969405937, -37.810463425 144.96937056500002, -37.810485119 144.969380682, -37.810474735 144.96941606500002, -37.810536948 144.969445075, -37.810525483 144.969484157, -37.810539001 144.969490466, -37.810549076 144.969495165, -37.810567036 144.969433994))"
geoscape_melbourne_buildings_jun22.2474063,2474063,bld09118cf4ccde,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,66,No,2021-04-04,No,2021-04-04,Special Use,19.15,19.15,29.69,5m,Flat Concrete,Flat,#EFF0E5,20393990000,6,32.56,623.5,,144.97152,-37.81137,5,Flat,No,"POLYGON ((-37.811406154000004 144.971550288, -37.811390331000005 144.97160582400002, -37.811412129000004 144.971615689, -37.81143396 144.971539065, -37.811351427000005 144.97150171500002, -37.811345419000006 144.971522792, -37.811406154000004 144.971550288))"
geoscape_melbourne_buildings_jun22.2474068,2474068,bld76dd67662aa2,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,4,No,2021-04-04,No,2021-04-04,Residential,4.46,4.46,30.79,5m,Flat Concrete,Flat,#C2BFB4,20400980000,4,30.39,135.48,,144.96968,-37.80754,1,Flat,Yes,"POLYGON ((-37.807529895 144.969728656, -37.807564836000005 144.969721963, -37.807554360000005 144.96963498300002, -37.807519420000006 144.969641676, -37.807529895 144.969728656))"
geoscape_melbourne_buildings_jun22.2474240,2474240,bld1e3eba9e5170,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,2,No,2021-04-04,No,2021-04-04,Special Use,10.03,8.57,27.65,5m,Flat Concrete,Moderate pitch or complexity,#262B2D,20394050000,4,193.17,1938.15,,144.971,-37.81022,2,Hipped,No,"POLYGON ((-37.810254109 144.971113139, -37.810300702 144.970949557, -37.810193682000005 144.97090112200001, -37.81014708 144.97106469300002, -37.810254109 144.971113139))"
geoscape_melbourne_buildings_jun22.2474524,2474524,bldc1cb15b7dbe9,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,239,No,2021-04-04,No,2021-04-04,Special Use,23.93,23.93,29.04,5m,Flat Concrete,Flat,#57534F,20393990000,7,15.41,368.79,,144.97154,-37.81118,7,Flat,No,"POLYGON ((-37.811175734 144.97152895800002, -37.811164729000005 144.97156757300002, -37.811192776000006 144.97158026600002, -37.811201605 144.971549253, -37.811206016 144.971533786, -37.811164835 144.971515148, -37.811163017000005 144.971521525, -37.811175734 144.97152895800002))"
geoscape_melbourne_buildings_jun22.2474487,2474487,bldace7eb6d4696,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,5,No,2021-04-04,No,2021-04-04,Special Use,12.02,10.61,22.81,5m,Flat Concrete,Moderate pitch or complexity,#DDDFD9,20393843000,7,144.43,1735.87,,144.96967,-37.81065,3,Hipped,No,"POLYGON ((-37.810708512000005 144.96975855000002, -37.810738066 144.969657896, -37.810703262000004 144.969641663, -37.810683793 144.96963257500002, -37.810621198 144.969603382, -37.810608943000005 144.96959766400002, -37.81057939 144.96969833, -37.810708512000005 144.96975855000002))"
